,index,filepaths,labels,data set,class_index
0,0,train/AFRICAN CROWNED CRANE/001.jpg,AFRICAN CROWNED CRANE,train,0
1,1,train/AFRICAN CROWNED CRANE/002.jpg,AFRICAN CROWNED CRANE,train,0
2,2,train/AFRICAN CROWNED CRANE/003.jpg,AFRICAN CROWNED CRANE,train,0
3,3,train/AFRICAN CROWNED CRANE/004.jpg,AFRICAN CROWNED CRANE,train,0
4,4,train/AFRICAN CROWNED CRANE/005.jpg,AFRICAN CROWNED CRANE,train,0
5,5,train/AFRICAN CROWNED CRANE/006.jpg,AFRICAN CROWNED CRANE,train,0
6,6,train/AFRICAN CROWNED CRANE/007.jpg,AFRICAN CROWNED CRANE,train,0
7,7,train/AFRICAN CROWNED CRANE/008.jpg,AFRICAN CROWNED CRANE,train,0
8,8,train/AFRICAN CROWNED CRANE/009.jpg,AFRICAN CROWNED CRANE,train,0
9,9,train/AFRICAN CROWNED CRANE/010.jpg,AFRICAN CROWNED CRANE,train,0
10,10,train/AFRICAN CROWNED CRANE/011.jpg,AFRICAN CROWNED CRANE,train,0
11,11,train/AFRICAN CROWNED CRANE/012.jpg,AFRICAN CROWNED CRANE,train,0
12,12,train/AFRICAN CROWNED CRANE/013.jpg,AFRICAN CROWNED CRANE,train,0
13,13,train/AFRICAN CROWNED CRANE/014.jpg,AFRICAN CROWNED CRANE,train,0
14,14,train/AFRICAN CROWNED CRANE/015.jpg,AFRICAN CROWNED CRANE,train,0
15,15,train/AFRICAN CROWNED CRANE/016.jpg,AFRICAN CROWNED CRANE,train,0
16,16,train/AFRICAN CROWNED CRANE/017.jpg,AFRICAN CROWNED CRANE,train,0
17,17,train/AFRICAN CROWNED CRANE/018.jpg,AFRICAN CROWNED CRANE,train,0
18,18,train/AFRICAN CROWNED CRANE/019.jpg,AFRICAN CROWNED CRANE,train,0
19,19,train/AFRICAN CROWNED CRANE/020.jpg,AFRICAN CROWNED CRANE,train,0
20,20,train/AFRICAN CROWNED CRANE/021.jpg,AFRICAN CROWNED CRANE,train,0
21,21,train/AFRICAN CROWNED CRANE/022.jpg,AFRICAN CROWNED CRANE,train,0
22,22,train/AFRICAN CROWNED CRANE/023.jpg,AFRICAN CROWNED CRANE,train,0
23,23,train/AFRICAN CROWNED CRANE/024.jpg,AFRICAN CROWNED CRANE,train,0
24,24,train/AFRICAN CROWNED CRANE/025.jpg,AFRICAN CROWNED CRANE,train,0
25,25,train/AFRICAN CROWNED CRANE/026.jpg,AFRICAN CROWNED CRANE,train,0
26,26,train/AFRICAN CROWNED CRANE/027.jpg,AFRICAN CROWNED CRANE,train,0
27,27,train/AFRICAN CROWNED CRANE/028.jpg,AFRICAN CROWNED CRANE,train,0
28,28,train/AFRICAN CROWNED CRANE/029.jpg,AFRICAN CROWNED CRANE,train,0
29,29,train/AFRICAN CROWNED CRANE/030.jpg,AFRICAN CROWNED CRANE,train,0
30,30,train/AFRICAN CROWNED CRANE/031.jpg,AFRICAN CROWNED CRANE,train,0
31,31,train/AFRICAN CROWNED CRANE/032.jpg,AFRICAN CROWNED CRANE,train,0
32,32,train/AFRICAN CROWNED CRANE/033.jpg,AFRICAN CROWNED CRANE,train,0
33,33,train/AFRICAN CROWNED CRANE/034.jpg,AFRICAN CROWNED CRANE,train,0
